Test-User;Support Vector Machine;Random Forest
17;0,9137931034482759;0,9458128078817735
4;0,9775862068965517;0,9913793103448276
2;0,8120689655172414;0,8103448275862069
15;0,889655172413793;0,9371921182266009
18;0,9027093596059114;0,9051724137931034
13;0,9862068965517241;0,9913793103448276
7;0,9258620689655173;0,9
19;0,9913793103448276;1,0
10;0,936206896551724;0,9862068965517241
5;0,8591954022988506;0,9655172413793104
9;0,8890804597701149;0,9028735632183907
16;0,9051724137931034;0,9545977011494252
6;0,9120689655172413;0,9224137931034483
3;0,8310344827586207;0,9114942528735632
1;0,8293103448275863;0,8511494252873563
14;0,9094827586206896;0,9482758620689655
20;1,0;1,0
8;0,9913793103448276;1,0
11;0,8655172413793103;0,9310344827586207
12;0,9724137931034482;0,9913793103448276
Mean;0,9150061576354682;0,9423111658456487
Std.Dev.;0,003194842226179017;0,002591029383414089
Min;0,8120689655172414;0,8103448275862069
Max;1,0;1,0
