Test-User;Support Vector Machine;Random Forest
13;0,9733870967741937;0,9411290322580645
3;0,7420698924731182;0,7045506912442396
2;0,6604838709677419;0,7112135176651305
14;0,9223118279569893;0,925
18;0,9144393241167434;0,9093317972350231
16;0,8736559139784946;0,9693548387096775
7;0,6492319508448541;0,6279569892473118
20;0,9407834101382488;0,9532258064516129
11;0,7397081413210446;0,7986559139784947
12;0,9079877112135177;0,9223118279569893
8;0,918010752688172;0,9564516129032259
10;0,744758064516129;0,6696236559139784
19;0,9334677419354839;0,9919354838709677
4;0,8564516129032259;0,871505376344086
15;0,8580645161290323;0,8835253456221198
1;0,6550307219662059;0,6467357910906298
5;0,7467165898617512;0,7646697388632873
17;0,9169354838709678;0,9236559139784947
6;0,6699902248289346;0,6108870967741935
9;0,7560867895545316;0,6852150537634408
Mean;0,818978581901969;0,8233467741935483
Std.Dev.;0,011735965848502807;0,0164840024747759
Min;0,6492319508448541;0,6108870967741935
Max;0,9733870967741937;0,9919354838709677
