Test-User;Support Vector Machine;Random Forest
17;0,8870967741935484;0,9408602150537635
7;0,7956989247311828;0,8763440860215054
11;0,8064516129032258;0,8655913978494624
16;0,8709677419354839;0,956989247311828
14;0,9193548387096774;0,9731182795698925
10;0,8010752688172043;0,8279569892473119
1;0,6989247311827957;0,7741935483870968
19;0,9354838709677419;0,9946236559139785
4;0,8817204301075269;0,946236559139785
12;0,8924731182795699;0,956989247311828
9;0,8333333333333334;0,8709677419354839
20;0,9193548387096774;1,0
5;0,8225806451612904;0,8924731182795699
18;0,9193548387096774;0,9516129032258065
15;0,8709677419354839;0,9354838709677419
6;0,7526881720430108;0,7903225806451613
13;0,9408602150537635;0,989247311827957
8;0,8602150537634409;0,956989247311828
3;0,8064516129032258;0,8279569892473119
2;0,7258064516129032;0,7903225806451613
Mean;0,8470430107526881;0,9059139784946236
Std.Dev.;0,004643528153543762;0,005097410105214478
Min;0,6989247311827957;0,7741935483870968
Max;0,9408602150537635;1,0
